dpb	gw150A_BPA3	surv150A_BPA3	gw150B_BPA3	surv150B_BPA3	gw150C_BPA3	surv150C_BPA3
0.0	0.1304348	1.0000000	0.1309764	1.0000000	0.1300676	1.0000000
14.0	0.2377104	0.9933110	0.2422680	0.9797980	0.2311644	0.9864865
28.0	0.4255102	0.9832776	0.4283737	0.9730640	0.4136364	0.9662162
42.0	0.7924915	0.9799331	0.7768166	0.9730640	0.7088028	0.9594595
56.0	1.3000000	0.9799331	1.3072664	0.9730640	1.2239437	0.9594595
70.0	2.0955631	0.9799331	2.0312500	0.9696970	1.9770318	0.9560811
84.0	2.8876147	0.9799331	2.7957547	0.9663300	2.6417476	0.9425676
98.0	4.2460465	0.9709429	3.9622642	0.9663300	3.7752427	0.9425676
112.0	5.9534884	0.9709429	5.9056604	0.9663300	5.3009709	0.9425676
126.0	7.9051402	0.9709429	7.9264151	0.9663300	7.4805825	0.9425676
140.0	10.3823810	0.9618687	10.7445498	0.9617718	9.8409756	0.9379920
154.0	14.0000000	0.9618687	14.7630332	0.9617718	13.1463415	0.9379920
175.0	21.9285714	0.9618687	22.5476190	0.9572136	20.7317073	0.9379920
196.0	31.6190476	0.9618687	32.1770335	0.9526555	30.3902439	0.9379920
217.0	41.8095238	0.9618687	42.3923445	0.9526555	39.9268293	0.9379920
245.0	58.7380952	0.9618687	60.0478469	0.9526555	55.9313725	0.9334164
273.0	73.7380952	0.9618687	77.6315789	0.9526555	73.4313725	0.9334164
357.0	112.3682540	0.9481277	118.6894737	0.9526555	113.0021189	0.9196897
