dpb	gw124_BPA3	surv124_BPA3
0	0.1114983	1
13	0.1673004	0.9512195
34	0.3970954	0.9186683
59	1.1731602	0.9186683
76	2.1038961	0.9186683
97	3.7884956	0.8987837
118	6.5366972	0.8908298
139	10.2790698	0.8785707
160	16.3785047	0.8744843
181	24.7087379	0.8744843
202	34.6097561	0.8702393
223	43.4068627	0.8659942
244	57.4137931	0.8617491
286	96.4179104	0.853259
298.5	105.9333333	0.853259
327	133.6577181	0.8475706
375	211.1486486	0.8418822
431	335.7094595	0.8418822
488	515.3040541	0.8418822
552	768.6148649	0.8418822
552.5	751.0273973	0.8418822
608	834.5205479	0.8418822
664	999.3150685	0.8418822
720	1192.755102	0.8418822
781	1355.204082	0.8418822
837	1508.673469	0.8418822
893	1690.106383	0.8075197
893.5	1827.794118	0.8075197
949	2160.735294	0.8075197
1005	2203.529412	0.8075197
