dpb	gw124_BPA30	surv124_BPA30
0	0.09906832	1
13	0.1511785	0.9534161
34	0.3774545	0.9245248
59	1.06654	0.9178009
76	1.94981	0.9178009
97	3.451923	0.9073317
118	5.885827	0.9073317
139	8.924303	0.8966152
160	14.2	0.893043
181	21.98347	0.893043
202	31.59751	0.8893528
223	40.46025	0.8819723
244	53.17597	0.8598307
286	87.48918	0.8524502
298.5	101.1	0.8450696
327	128.9667	0.8338021
375	209.094	0.8282434
431	330.6376	0.8282434
488	478.3893	0.8282434
552	714.9329	0.8282434
552.5	722.7703	0.8282434
608	815.3425	0.8170509
664	1006.301	0.8170509
720	1206.042	0.8058584
781	1390.312	0.8058584
837	1583.125	0.8058584
893	1751.489	0.7890697
893.5	1915	0.7890697
949	2169.73	0.7890697
1005	2177.432	0.7890697
