dpb	gw150A_BPA30	surv150A_BPA30	gw150B_BPA30	surv150B_BPA30	gw150C_BPA30	surv150C_BPA30
0.0	0.1163194	1.0000000	0.1155235	1.0000000	0.1118881	1.0000000
14.0	0.1992674	0.9479167	0.1991935	0.8953069	0.1972868	0.9020979
28.0	0.3555133	0.9131944	0.3693277	0.8592058	0.3653386	0.8776224
42.0	0.6513308	0.9131944	0.6777311	0.8592058	0.6596000	0.8741259
56.0	1.0704981	0.9062500	1.1445378	0.8592058	1.0943775	0.8706294
70.0	1.6735632	0.9062500	1.8620253	0.8555957	1.7599190	0.8636364
84.0	2.2680851	0.9062500	2.4761006	0.8519856	2.3616279	0.8601399
98.0	3.3755319	0.9062500	3.5635220	0.8519856	3.4465116	0.8601399
112.0	5.1170213	0.9062500	5.0691824	0.8519856	4.8837209	0.8601399
126.0	6.5037234	0.9062500	7.1402516	0.8519856	6.7732558	0.8601399
140.0	8.4465241	0.9014295	9.6331210	0.8412688	9.1639535	0.8601399
154.0	11.3903743	0.9014295	12.9166667	0.8359104	11.9590643	0.8551390
175.0	18.3957219	0.9014295	20.0641026	0.8359104	18.3625731	0.8551390
196.0	26.7379679	0.9014295	28.9423077	0.8359104	25.9064327	0.8551390
217.0	36.1497326	0.9014295	38.5576923	0.8359104	35.2631579	0.8551390
245.0	51.0695187	0.9014295	53.7500000	0.8359104	49.9707602	0.8551390
273.0	69.5989305	0.9014295	70.3205128	0.8359104	66.5497076	0.8551390
357.0	108.9285714	0.8966090	116.4978261	0.8359104	105.1212418	0.8551390
